term_36m,term_60m,grade_n,sub_grade_n,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,emp_length_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,cover,Outcome
0,1,3,37,71.0,20.75,324.98,21391.0,4.0,9.66,1949,64,4,75000.0,12075,6.2111801242236,1
1,0,6,61,89.7,13.67,486.46,-1.0,10.0,19.29,-1,100,4,84000.0,14300,5.87412587412587,0
1,0,2,21,48.8,30.75,685.82,13700.0,5.0,3.9,1114,49,5,65000.0,16000,4.0625,1
1,0,5,51,37.8,13.79,255.57,-1.0,3.0,4.18,-1,100,-1,56000.0,7500,7.46666666666667,0
0,1,3,35,86.8,21.18,325.86,78700.0,10.0,24.3,5266,88,2,80000.0,12000,6.66666666666667,1
1,0,4,41,57.4,19.47,463.95,212411.0,7.0,6.1,15747,100,6,225000.0,12575,17.8926441351889,0
1,0,4,49,18.1,17.76,304.48,39842.0,2.0,25.97,2986,100,5,25000.0,8450,2.9585798816568,0
1,0,5,55,89.4,13.67,136.08,29761.0,10.0,16.13,4222,57,0,63000.0,4000,15.75,0
1,0,5,53,68.0,15.31,495.28,556904.0,10.0,23.79,27775,100,2,121000.0,14225,8.50615114235501,0
1,0,5,53,91.0,15.61,349.65,190499.0,6.0,22.21,16807,100,5,79000.0,10000,7.9,0
1,0,3,33,17.4,21.99,149.88,52826.0,7.0,17.98,8622,100,3,70000.0,3925,17.8343949044586,0
1,0,5,51,65.3,14.99,346.61,25490.0,10.0,19.32,3444,100,3,30000.0,10000,3.0,0
1,0,3,35,23.6,19.52,379.35,208528.0,10.0,21.46,13095,100,7,50000.0,10275,4.8661800486618,0
1,0,2,29,33.2,21.99,393.31,30700.0,4.0,12.68,1500,100,6,63000.0,10300,6.11650485436893,0
1,0,5,57,23.4,12.99,581.98,422517.0,4.0,22.77,25044,38,1,90000.0,17275,5.20984081041968,0
1,0,4,47,93.1,18.49,291.19,134478.0,2.0,32.51,13796,100,2,150000.0,8000,18.75,0
1,0,6,67,59.0,9.17,159.4,76672.0,10.0,34.3,3884,56,2,60000.0,5000,12.0,0
0,1,4,41,81.5,21.49,683.25,391473.0,10.0,11.41,27639,88,8,108000.0,25000,4.32,0
1,0,5,51,93.3,15.31,499.63,92642.0,1.0,18.0,4784,114,2,35000.0,14350,2.4390243902439,0
1,0,5,57,72.8,12.88,504.55,44487.0,6.0,13.22,3512,55,1,80000.0,15000,5.33333333333333,1
0,1,2,27,74.8,24.08,806.81,449390.0,1.0,15.75,35933,100,5,126500.0,28000,4.51785714285714,0
1,0,6,65,63.9,10.99,104.75,-1.0,0.5,4.2,-1,100,-1,56000.0,3200,17.5,0
1,0,6,67,42.1,10.0,154.89,-1.0,2.0,23.37,-1,100,-1,23000.0,4800,4.79166666666667,0
1,0,4,47,41.5,18.49,268.45,62309.0,10.0,18.22,5869,100,4,72000.0,7375,9.76271186440678,0
1,0,2,27,23.8,18.43,363.7,-1.0,0.5,1.26,-1,100,-1,89400.0,10000,8.94,0
0,1,1,19,85.5,25.8,1043.78,50116.0,10.0,2.93,6299,100,2,355000.0,35000,10.1428571428571,1
1,0,4,41,23.5,18.24,652.92,35595.0,3.0,15.54,2069,100,2,50000.0,18000,2.77777777777778,0
1,0,3,37,56.1,21.7,228.22,316087.0,0.5,20.96,11134,100,11,58000.0,6000,9.66666666666667,0
0,1,2,29,66.2,28.69,946.61,45397.0,10.0,15.78,5006,55,2,70000.0,30000,2.33333333333333,1
1,0,7,73,0.0,7.9,1095.16,-1.0,10.0,0.01,-1,100,4,95000.0,35000,2.71428571428571,0
1,0,5,51,46.4,15.99,703.05,92174.0,2.0,29.07,5346,41,2,50000.0,20000,2.5,1
1,0,2,25,45.1,24.5,412.74,46781.0,6.0,25.51,4585,100,4,35000.0,10450,3.34928229665072,0
1,0,2,21,44.5,25.78,277.2,69904.0,3.0,9.22,15983,100,3,180000.0,6900,26.0869565217391,0
1,0,6,69,28.9,10.16,343.64,-1.0,1.0,7.31,-1,100,11,67000.0,10625,6.30588235294118,0
1,0,7,73,18.0,7.9,876.13,-1.0,6.0,3.13,-1,100,3,300000.0,28000,10.7142857142857,0
1,0,5,53,24.5,13.99,997.0,442398.0,10.0,26.09,14726,100,6,250000.0,29175,8.56898029134533,0
1,0,4,45,79.0,16.99,213.89,39260.0,2.0,4.67,7125,100,2,36000.0,6000,6.0,0
1,0,4,41,87.0,21.49,354.62,34288.0,7.0,18.6,3415,87,5,68000.0,9350,7.27272727272727,1
1,0,5,55,27.7,13.44,542.51,32105.0,8.0,6.94,1098,31,5,55000.0,16000,3.4375,1
1,0,5,57,74.6,12.69,670.9,97929.0,9.0,11.66,4747,100,2,100000.0,20000,5.0,0
0,1,5,57,26.2,12.99,318.48,18869.0,10.0,5.73,1577,59,2,40000.0,14000,2.85714285714286,0
1,0,4,47,42.6,18.49,713.42,44500.0,4.0,12.98,1444,100,2,50000.0,19600,2.55102040816327,0
1,0,4,45,35.5,18.99,916.28,52365.0,2.0,15.75,8543,65,2,67000.0,25000,2.68,1
0,1,5,59,27.2,12.62,902.37,45960.0,0.5,3.77,1050,27,1,92000.0,40000,2.3,0
1,0,6,63,55.4,10.75,260.97,55745.0,2.0,29.76,5208,75,4,40000.0,8000,5.0,0
1,0,5,51,25.2,14.65,331.15,96322.0,8.0,30.07,2366,100,7,52000.0,9600,5.41666666666667,0
1,0,6,65,39.1,11.39,79.02,352268.0,1.0,17.24,28790,61,7,110000.0,2400,45.8333333333333,0
1,0,7,79,2.1,5.32,180.69,255856.0,10.0,2.27,17682,3,5,45000.0,6000,7.5,0
1,0,4,47,41.5,17.27,1130.88,235675.0,0.5,5.44,37013,31,4,300000.0,31600,9.49367088607595,0
1,0,4,49,61.4,17.76,198.18,18400.0,0.0,23.64,1256,100,3,20000.0,5500,3.63636363636364,0
1,0,4,47,5.3,15.99,421.83,6100.0,5.0,1.03,65,100,1,70000.0,12000,5.83333333333333,0
1,0,6,61,70.7,14.09,479.1,160412.0,8.0,27.5,6746,100,10,110000.0,14000,7.85714285714286,0
1,0,4,43,13.9,18.99,398.58,7100.0,3.0,1.6,494,14,1,45000.0,10875,4.13793103448276,0
1,0,4,49,12.0,16.59,248.15,256116.0,4.0,27.64,26699,100,7,85000.0,7000,12.1428571428571,0
1,0,6,61,73.7,13.67,255.14,338040.0,3.0,15.94,26917,100,5,95000.0,7500,12.6666666666667,0
1,0,4,41,36.5,21.49,758.55,72650.0,5.0,19.8,3173,43,6,70000.0,20000,3.5,1
1,0,6,69,31.3,9.91,116.01,-1.0,2.0,10.37,-1,100,-1,25000.0,3600,6.94444444444444,0
0,1,4,47,89.4,16.55,492.23,240896.0,5.0,3.57,25208,100,4,435000.0,20000,21.75,0
1,0,6,69,43.9,9.76,1125.42,-1.0,10.0,9.97,-1,100,4,100000.0,35000,2.85714285714286,0
1,0,6,65,59.1,10.42,324.65,77800.0,4.0,21.85,7297,47,3,98575.0,10000,9.8575,0
0,1,5,51,12.5,14.99,266.39,224811.0,0.5,14.42,22885,100,9,58000.0,11200,5.17857142857143,0
0,1,5,51,20.0,15.23,263.02,-1.0,6.0,8.4,-1,100,-1,24000.0,11000,2.18181818181818,0
1,0,4,49,20.8,17.77,1081.12,-1.0,3.0,11.2,-1,100,6,100000.0,30000,3.33333333333333,0
0,1,6,63,32.6,11.49,549.69,-1.0,10.0,9.84,-1,100,-1,96000.0,25000,3.84,0
1,0,3,35,43.9,19.19,735.05,6100.0,5.0,3.17,669,100,3,42000.0,20000,2.1,0
1,0,3,39,30.1,20.99,553.75,512044.0,10.0,21.7,21388,50,8,77000.0,14700,5.23809523809524,0
1,0,4,41,28.2,17.86,388.79,98572.0,10.0,12.26,5099,100,7,80000.0,10775,7.4245939675174,0
1,0,5,57,18.9,13.49,488.6,107948.0,3.0,8.51,8154,48,8,85000.0,14400,5.90277777777778,0
1,0,4,49,52.2,16.99,847.53,26130.0,5.0,3.99,2117,65,3,130000.0,23775,5.46792849631966,1
0,1,4,47,75.5,14.91,284.92,-1.0,10.0,7.79,-1,100,-1,73000.0,12000,6.08333333333333,0
0,1,2,29,33.2,21.99,773.18,150167.0,10.0,2.34,18079,100,2,130000.0,28000,4.64285714285714,0
1,0,4,49,53.9,16.99,1246.79,237582.0,10.0,20.01,16553,74,5,69981.91,34975,2.0009123659757,1
1,0,5,57,31.8,13.49,407.17,295027.0,0.5,6.27,30723,40,6,80000.0,12000,6.66666666666667,0
1,0,4,43,35.0,17.57,388.13,20816.0,2.0,6.6,1454,100,1,30000.0,10800,2.77777777777778,0
1,0,5,57,74.3,12.59,267.98,21556.0,5.0,6.5,2053,100,4,70000.0,8000,8.75,0
1,0,4,41,29.0,18.24,591.25,93229.0,0.0,19.23,6238,100,5,41000.0,16300,2.51533742331288,0
1,0,5,53,36.3,14.46,550.43,218683.0,8.0,10.8,9349,39,5,110000.0,16000,6.875,1
1,0,4,47,3.5,16.55,708.59,16724.0,2.0,0.32,134,100,0,120000.0,20000,6.0,0
0,1,3,37,36.0,21.7,274.49,221802.0,10.0,19.95,17928,100,3,75000.0,10000,7.5,0
1,0,4,47,93.5,18.49,764.38,280121.0,10.0,15.9,41318,100,2,111000.0,21000,5.28571428571429,0
1,0,7,79,8.1,6.39,64.27,-1.0,0.5,1.53,-1,100,-1,40000.0,2100,19.047619047619,0
1,0,6,63,102.5,11.44,197.69,261836.0,6.0,28.89,18132,81,4,90000.0,6000,15.0,0
1,0,4,47,31.2,18.49,127.4,153939.0,2.0,12.03,11936,100,10,48000.0,3500,13.7142857142857,0
1,0,6,61,3.4,14.09,68.45,-1.0,10.0,13.79,-1,100,1,45000.0,2000,22.5,0
1,0,5,51,90.1,16.78,377.65,323940.0,10.0,23.11,38106,100,3,70720.0,10625,6.656,0
1,0,7,71,23.6,8.59,474.14,53468.0,2.0,12.49,2251,30,0,90000.0,15000,6.0,0
1,0,6,69,46.5,8.39,31.52,105243.0,0.5,19.75,6832,52,3,80000.0,1000,80.0,0
1,0,6,65,95.1,9.75,160.75,81050.0,10.0,11.96,9804,85,3,200000.0,5000,40.0,0
1,0,4,45,87.4,15.33,870.71,-1.0,10.0,18.05,-1,100,-1,72000.0,25000,2.88,0
1,0,4,45,0.4,19.03,154.02,45500.0,6.0,0.46,65,0,0,65000.0,4200,15.4761904761905,0
1,0,5,59,8.6,12.99,644.31,90092.0,0.5,13.15,2815,100,6,48000.0,19125,2.50980392156863,0
0,1,4,43,39.6,20.0,662.35,191701.0,2.0,27.41,11603,64,11,135000.0,25000,5.4,1
0,1,5,55,52.3,13.99,697.9,314463.0,10.0,15.29,27474,52,1,81000.0,30000,2.7,0
1,0,5,53,62.3,14.99,207.97,25110.0,6.0,3.36,5471,109,2,35000.0,6000,5.83333333333333,0
1,0,7,71,50.4,7.88,250.25,-1.0,4.0,21.76,-1,100,-1,60000.0,8000,7.5,0
1,0,4,43,82.9,15.65,262.4,-1.0,10.0,17.2,-1,100,-1,120000.0,7500,16.0,0
0,1,2,29,68.6,20.25,319.6,-1.0,2.0,1.66,-1,100,-1,76000.0,12000,6.33333333333333,0
1,0,2,29,61.9,22.99,268.03,59301.0,3.0,13.16,7854,100,5,100000.0,6925,14.4404332129964,0
1,0,5,51,25.5,14.99,315.41,58744.0,6.0,12.78,4326,100,4,75000.0,9100,8.24175824175824,0
1,0,4,43,9.2,19.99,148.64,61500.0,2.0,15.59,5593,73,3,42500.0,4000,10.625,0
1,0,7,71,17.2,7.97,626.46,14800.0,10.0,1.17,636,17,2,75000.0,20000,3.75,0
0,1,6,69,0.2,9.44,629.18,77251.0,0.5,0.84,6223,73,2,60000.0,30000,2.0,0
1,0,6,65,82.7,10.37,162.21,-1.0,10.0,16.37,-1,100,-1,50000.0,5000,10.0,0
1,0,7,77,8.3,5.99,304.18,-1.0,4.0,1.14,-1,100,-1,78000.0,10000,7.8,0
1,0,5,55,35.2,15.61,611.01,199288.0,6.0,9.67,36730,100,3,70000.0,17475,4.00572246065808,0
1,0,5,59,12.8,12.74,1342.76,94831.0,10.0,5.08,1690,23,4,150000.0,40000,3.75,0
1,0,4,41,30.8,21.49,264.55,48412.0,2.0,6.45,2686,61,13,120000.0,6975,17.2043010752688,1
1,0,5,59,53.0,14.33,686.77,178012.0,4.0,1.99,26764,100,0,90000.0,20000,4.5,0
1,0,7,73,14.6,7.49,597.16,268067.0,0.5,16.11,24138,30,5,75000.0,19200,3.90625,0
1,0,4,43,60.6,17.57,359.38,28700.0,0.5,24.01,1160,100,7,35000.0,10000,3.5,0
0,1,5,57,53.1,13.06,22.79,-1.0,1.0,22.5,-1,100,-1,9600.0,1000,9.6,0
1,0,5,55,68.6,13.18,135.13,501524.0,0.0,18.15,38862,56,5,84012.0,4000,21.003,0
1,0,3,31,30.4,20.99,572.59,55517.0,0.5,38.62,5599,100,4,34000.0,15200,2.23684210526316,0
1,0,6,65,49.8,11.12,787.1,-1.0,10.0,13.95,-1,100,-1,182000.0,24000,7.58333333333333,0
1,0,7,71,7.4,8.39,472.75,72379.0,10.0,4.93,739,100,6,91877.0,15000,6.12513333333333,0
1,0,5,55,58.1,13.33,1015.6,391531.0,10.0,11.37,48433,100,2,150000.0,30000,5.0,0
0,1,5,59,45.6,13.49,690.15,-1.0,10.0,7.8,-1,100,-1,135000.0,30000,4.5,0
1,0,5,51,52.4,15.61,874.12,176520.0,10.0,32.94,11013,100,6,130000.0,25000,5.2,0
0,1,6,63,11.1,13.11,570.24,-1.0,3.0,11.91,-1,100,2,80000.0,25000,3.2,0
1,0,3,39,33.4,22.39,1151.78,245016.0,7.0,6.94,13617,33,14,92000.0,30000,3.06666666666667,1
1,0,4,45,69.1,19.03,183.36,225841.0,0.0,29.08,13754,77,8,83700.0,5000,16.74,1
1,0,6,63,13.3,10.99,196.41,145841.0,1.0,18.82,7396,91,4,51000.0,6000,8.5,0
1,0,6,67,43.7,9.25,638.33,-1.0,4.0,21.22,-1,100,-1,72000.0,20000,3.6,0
1,0,6,69,62.8,8.24,157.24,121100.0,6.0,2.21,28107,63,2,68000.0,5000,13.6,0
1,0,4,49,52.5,16.59,245.49,30425.0,9.0,13.72,1392,100,5,60000.0,6925,8.66425992779783,0
0,1,2,21,24.8,25.57,569.98,72869.0,10.0,19.34,13666,100,3,60200.0,19200,3.13541666666667,0
1,0,6,61,43.6,13.67,242.38,40929.0,10.0,16.72,4217,100,5,45000.0,7125,6.31578947368421,0
1,0,5,55,62.9,14.98,1039.67,411023.0,10.0,13.92,35295,100,0,90000.0,30000,3.0,0
1,0,4,49,6.6,14.61,430.94,-1.0,8.0,0.84,-1,100,-1,42960.0,12500,3.4368,0
0,1,4,47,61.7,17.99,472.86,57418.0,10.0,16.56,5830,61,4,74000.0,18625,3.97315436241611,1
0,1,3,33,73.0,21.98,541.11,33805.0,5.0,5.74,1727,100,2,176000.0,19600,8.97959183673469,1
1,0,7,73,37.2,7.29,310.1,-1.0,6.0,2.69,-1,100,-1,29000.0,10000,2.9,0
0,1,2,25,21.2,18.99,648.38,-1.0,0.0,1.27,-1,100,-1,55000.0,25000,2.2,0
0,1,5,57,4.8,14.27,580.53,-1.0,7.0,3.89,-1,100,-1,95000.0,24800,3.83064516129032,0
0,1,1,17,52.4,27.31,495.38,77099.0,1.0,29.13,3901,100,5,38400.0,16125,2.38139534883721,1
1,0,4,45,80.4,18.25,281.16,250282.0,7.0,31.8,10049,97,4,60000.0,7750,7.74193548387097,1
1,0,7,79,5.9,6.03,304.36,-1.0,8.0,5.14,-1,100,-1,50000.0,10000,5.0,0
1,0,6,63,62.0,10.75,163.11,5501.0,3.0,15.95,1702,62,1,35000.0,5000,7.0,0
1,0,6,61,60.9,14.09,684.43,43142.0,4.0,11.52,4838,100,1,80000.0,20000,4.0,0
1,0,3,37,83.4,18.84,285.29,244475.0,2.0,8.09,29378,100,2,115000.0,7800,14.7435897435897,0
1,0,3,35,13.9,19.19,235.22,15000.0,2.0,2.1,2081,100,0,20000.0,6400,3.125,0
1,0,5,51,51.2,14.72,248.61,-1.0,10.0,9.97,-1,100,-1,60675.83,7200,8.42719861111111,0
0,1,5,57,14.0,13.59,787.38,204396.0,3.0,25.57,3764,42,11,100000.0,34150,2.92825768667643,0
1,0,4,41,0.0,16.02,63.31,-1.0,9.0,4.19,-1,100,-1,50960.0,1800,28.3111111111111,0
1,0,4,43,36.3,19.99,268.48,8100.0,7.0,0.85,979,36,2,180000.0,7225,24.9134948096886,1
1,0,5,59,70.7,13.99,136.7,-1.0,3.0,21.6,-1,100,1,45000.0,4000,11.25,0
1,0,4,47,32.6,16.55,106.29,55053.0,10.0,16.52,4631,100,3,64000.0,3000,21.3333333333333,0
1,0,7,71,17.4,8.19,251.4,19831.0,10.0,5.18,535,100,3,75000.0,8000,9.375,0
1,0,4,43,65.3,20.0,237.85,80854.0,2.0,30.14,3071,72,8,75000.0,6400,11.71875,1
1,0,7,73,2.6,7.9,250.33,-1.0,0.5,16.06,-1,100,-1,34000.0,8000,4.25,0
1,0,2,29,65.4,23.13,527.38,15093.0,2.0,7.32,2866,76,3,40000.0,13600,2.94117647058824,0
1,0,5,59,73.5,12.99,202.14,-1.0,2.0,8.73,-1,100,-1,55000.0,6000,9.16666666666667,0
1,0,6,69,8.7,9.67,899.15,559301.0,9.0,4.38,34505,100,4,600000.0,28000,21.4285714285714,0
1,0,2,27,20.0,18.43,545.55,-1.0,10.0,8.78,-1,100,-1,35000.0,15000,2.33333333333333,0
1,0,6,69,57.9,9.76,192.93,-1.0,6.0,19.24,-1,100,-1,41600.0,6000,6.93333333333333,0
1,0,7,71,0.0,8.49,841.16,-1.0,6.0,0.2,-1,100,-1,77100.0,35000,2.20285714285714,0
0,1,4,49,43.4,15.61,482.23,70973.0,10.0,7.2,3476,100,4,105000.0,20000,5.25,0
1,0,4,43,64.9,19.99,780.33,64231.0,4.0,16.68,7229,79,5,100000.0,21000,4.76190476190476,1
0,1,1,15,20.7,25.89,760.33,46122.0,2.0,14.38,7644,100,3,65000.0,25450,2.55402750491159,0
1,0,4,47,25.8,17.99,359.67,31350.0,1.0,12.25,3303,74,5,52000.0,9950,5.22613065326633,0
1,0,3,31,33.5,26.24,1414.66,54942.0,10.0,5.46,1084,24,3,200000.0,35000,5.71428571428571,1
1,0,6,61,80.7,11.53,164.96,25569.0,0.0,7.39,4757,100,0,90000.0,5000,18.0,0
0,1,6,65,31.9,9.75,739.35,495939.0,10.0,14.11,18489,57,6,210000.0,35000,6.0,0
1,0,5,57,78.7,14.16,548.09,181437.0,10.0,15.73,48459,100,1,67000.0,16000,4.1875,0
1,0,4,43,61.3,19.05,894.11,154960.0,10.0,9.55,22666,100,4,118000.0,24375,4.84102564102564,0
1,0,4,41,18.1,17.86,322.94,39470.0,3.0,17.99,3475,100,4,50000.0,8950,5.58659217877095,0
1,0,5,55,54.0,15.61,432.69,261537.0,6.0,21.18,29721,100,4,115000.0,12375,9.29292929292929,0
1,0,6,69,18.3,10.95,490.71,-1.0,10.0,1.07,-1,100,-1,110000.0,15000,7.33333333333333,0
1,0,2,25,33.7,24.99,508.86,45537.0,4.0,30.51,4947,87,9,54000.0,12800,4.21875,0
0,1,3,37,32.7,18.84,341.26,247382.0,10.0,18.99,19518,100,2,92000.0,13200,6.96969696969697,0
0,1,4,45,48.5,16.99,298.17,310490.0,4.0,15.07,28801,100,3,65000.0,12000,5.41666666666667,0
0,1,1,19,39.8,25.8,697.84,57646.0,2.0,13.54,3700,100,6,110000.0,23400,4.7008547008547,0
0,1,3,33,87.4,19.29,295.59,-1.0,7.0,16.46,-1,100,-1,60000.0,18000,3.33333333333333,0
1,0,7,73,16.9,7.9,844.84,-1.0,5.0,4.65,-1,100,4,118000.0,27000,4.37037037037037,0
1,0,7,79,4.7,5.32,1204.6,665537.0,6.0,2.52,65551,16,4,225000.0,40000,5.625,0
1,0,6,61,69.4,11.53,659.81,73634.0,0.5,17.58,5958,100,1,80000.0,20000,4.0,0
0,1,3,31,51.5,26.3,662.61,77833.0,10.0,22.51,7500,58,2,59600.0,22000,2.70909090909091,1
1,0,6,61,28.2,12.99,943.3,95068.0,4.0,6.51,3462,100,0,317018.0,28000,11.3220714285714,0
1,0,3,39,93.1,20.49,1309.49,166547.0,10.0,16.29,23672,100,2,125000.0,35000,3.57142857142857,0
0,1,3,33,22.1,24.99,1027.1,37200.0,10.0,6.02,633,22,5,74972.0,35000,2.14205714285714,0
1,0,5,57,52.0,12.99,336.9,80011.0,2.0,13.48,3736,52,3,120000.0,10000,12.0,1
1,0,5,51,96.5,16.78,319.89,325702.0,8.0,14.02,35320,100,4,75000.0,9000,8.33333333333333,0
1,0,7,73,23.4,7.35,620.75,189115.0,4.0,7.87,9761,45,3,75000.0,20000,3.75,0
1,0,6,61,71.6,11.99,352.86,-1.0,2.0,3.67,-1,100,-1,32400.0,10625,3.04941176470588,0
1,0,5,59,64.0,14.33,420.65,397026.0,3.0,21.55,52066,100,3,80000.0,12250,6.53061224489796,0
1,0,5,59,37.4,12.79,982.6,83177.0,10.0,11.49,8387,44,4,130000.0,29250,4.44444444444444,1
0,1,5,51,51.2,16.02,486.58,342100.0,10.0,1.41,30970,51,3,150000.0,20000,7.5,0
1,0,5,53,72.9,14.31,686.57,131069.0,10.0,9.67,9399,100,3,250000.0,20000,12.5,0
0,1,3,35,34.0,18.79,568.8,-1.0,2.0,24.06,-1,100,-1,85000.0,35000,2.42857142857143,0
1,0,5,51,22.8,15.31,696.35,97961.0,10.0,22.55,4491,60,6,85000.0,20000,4.25,0
1,0,4,47,2.1,18.06,72.37,75664.0,2.0,13.8,1554,25,9,85000.0,2000,42.5,0
0,1,4,41,10.2,18.24,255.25,204506.0,3.0,13.48,19854,100,5,64000.0,10000,6.4,0
1,0,6,65,47.0,12.12,598.89,-1.0,10.0,18.45,-1,100,4,90000.0,18000,5.0,0
1,0,4,49,36.8,16.99,534.72,186100.0,4.0,1.34,44964,37,2,75000.0,15000,5.0,0
1,0,4,47,76.7,18.25,261.21,39638.0,5.0,21.26,3064,100,1,38000.0,7200,5.27777777777778,0
1,0,5,59,55.5,11.99,265.68,142938.0,10.0,3.39,16724,67,5,200000.0,8000,25.0,0
1,0,4,41,59.8,20.31,373.22,430920.0,0.5,5.35,49430,100,6,132000.0,10000,13.2,0
1,0,5,55,69.0,13.99,683.46,35800.0,7.0,17.78,2226,44,2,60000.0,20000,3.0,1
1,0,5,59,48.6,14.33,343.39,18000.0,10.0,14.23,1425,100,1,36000.0,10000,3.6,0
1,0,5,55,14.4,14.08,1197.58,22300.0,10.0,7.89,7007,63,1,120000.0,35000,3.42857142857143,0
1,0,6,67,51.5,10.49,649.96,285500.0,6.0,15.82,43519,59,5,150000.0,20000,7.5,0
0,1,3,37,70.3,19.52,716.67,252127.0,10.0,19.94,20138,100,2,60000.0,27325,2.19579139981702,0
1,0,5,59,64.2,12.05,664.77,380245.0,3.0,17.13,32479,100,4,110000.0,20000,5.5,0
1,0,3,31,60.0,23.4,77.84,24632.0,2.0,12.09,2854,100,5,55000.0,2000,27.5,0
1,0,3,37,83.0,18.49,420.41,54270.0,2.0,34.69,5001,100,5,33000.0,11550,2.85714285714286,0
0,1,6,63,21.3,11.49,436.46,-1.0,6.0,9.74,-1,100,-1,117000.0,25000,4.68,0
0,1,6,67,42.0,10.59,430.78,-1.0,5.0,8.7,-1,100,-1,60000.0,20000,3.0,0
1,0,4,43,66.4,17.57,539.06,33700.0,2.0,20.69,1177,100,6,42000.0,15000,2.8,0
0,1,4,43,71.4,17.58,402.65,-1.0,0.0,8.34,-1,100,-1,45336.0,16000,2.8335,0
0,1,3,39,60.0,18.25,275.09,38679.0,9.0,11.61,2282,100,2,70000.0,10775,6.49651972157773,0
1,0,4,45,9.9,19.03,366.72,49075.0,4.0,1.4,359,7,14,110000.0,10000,11.0,0
0,1,2,27,63.7,24.08,288.15,46901.0,10.0,7.39,2763,100,5,100000.0,10000,10.0,0
1,0,2,23,73.2,24.99,795.1,34183.0,7.0,9.19,4767,100,6,104000.0,20000,5.2,0
0,1,3,33,89.5,19.29,292.33,-1.0,1.0,3.34,-1,100,-1,80000.0,11200,7.14285714285714,0
1,0,7,79,9.7,5.32,421.61,201039.0,10.0,16.86,5169,31,5,61000.0,14000,4.35714285714286,0
0,1,5,59,47.9,12.74,904.81,383548.0,3.0,15.81,32988,87,1,84600.0,40000,2.115,0
0,1,3,39,45.1,19.99,635.72,219003.0,9.0,27.62,14452,100,6,70000.0,24000,2.91666666666667,1
1,0,4,47,27.6,14.42,171.92,-1.0,1.0,3.26,-1,100,-1,35000.0,5000,7.0,0
1,0,6,65,2.1,9.75,321.5,100271.0,10.0,37.34,7002,43,2,45000.0,10000,4.5,0
1,0,3,37,69.7,18.55,218.58,90588.0,2.0,25.88,7440,100,7,80000.0,6000,13.3333333333333,0
1,0,4,43,79.8,17.57,210.24,23989.0,7.0,7.02,5563,100,6,100000.0,5850,17.0940170940171,0
1,0,5,55,13.8,13.99,164.03,39261.0,10.0,20.5,3187,65,3,25000.0,4800,5.20833333333333,0
1,0,2,25,95.7,24.5,375.22,13900.0,4.0,13.07,4435,100,1,28000.0,9500,2.94736842105263,0
1,0,5,57,25.5,14.47,137.63,623000.0,1.0,0.23,304244,100,1,158000.0,4000,39.5,0
1,0,6,67,11.5,9.49,384.34,72287.0,8.0,7.25,3148,100,4,108000.0,12000,9.0,0
1,0,7,79,8.8,6.03,304.36,-1.0,3.0,11.48,-1,100,8,73000.0,10000,7.3,0
1,0,4,49,30.9,16.99,534.72,622773.0,10.0,21.73,11299,54,13,130000.0,15000,8.66666666666667,1
1,0,6,65,44.4,9.99,1129.19,858505.0,10.0,9.95,29083,100,6,400000.0,35000,11.4285714285714,0
1,0,4,45,12.9,18.25,181.39,155781.0,1.0,9.93,19871,100,2,33000.0,5000,6.6,0
1,0,5,59,64.7,12.29,400.24,261152.0,6.0,17.15,15184,100,2,90000.0,12000,7.5,0
1,0,4,43,47.3,17.57,542.65,71600.0,1.0,8.08,4709,100,4,114000.0,15100,7.54966887417219,0
1,0,6,65,34.7,10.99,982.02,158541.0,10.0,24.0,10674,100,4,150000.0,30000,5.0,0
1,0,7,79,11.3,5.32,60.23,47416.0,3.0,12.83,717,24,5,50000.0,2000,25.0,0
1,0,4,47,55.5,18.06,1085.48,24104.0,10.0,10.8,1591,59,6,55000.0,30000,1.83333333333333,1
0,1,2,25,67.1,26.99,768.58,852795.0,3.0,16.48,38774,65,8,232000.0,25175,9.2154915590864,1
1,0,5,59,35.1,12.79,201.56,35381.0,1.0,6.19,4593,78,6,120000.0,6000,20.0,0
1,0,6,65,21.1,12.12,376.81,-1.0,9.0,5.49,-1,100,3,126000.0,11325,11.1258278145695,0
1,0,4,41,33.4,21.85,243.93,76757.0,10.0,13.93,3688,53,6,102000.0,6400,15.9375,1
1,0,5,59,24.1,12.99,505.34,-1.0,10.0,13.75,-1,100,-1,74628.0,15000,4.9752,0
1,0,7,71,17.1,6.91,383.14,-1.0,2.0,5.99,-1,100,-1,112976.0,20000,5.6488,0
1,0,4,47,53.7,16.55,220.55,37747.0,10.0,6.26,4243,100,2,142000.0,6225,22.8112449799197,0
1,0,4,43,25.7,15.2,139.06,-1.0,6.0,0.67,-1,100,-1,36000.0,4000,9.0,0
1,0,5,51,64.1,15.31,1392.7,461922.0,5.0,13.36,35518,55,0,140000.0,40000,3.5,0
1,0,5,57,42.1,13.59,331.3,92068.0,2.0,22.2,11069,69,6,84000.0,9750,8.61538461538461,1
1,0,4,45,29.4,19.2,560.55,30931.0,0.5,14.66,927,100,5,40000.0,15250,2.62295081967213,0
1,0,5,51,74.8,14.99,693.21,418656.0,7.0,9.6,30277,100,2,260000.0,20000,13.0,0
